subject,session,timemain,choice,value,timecq,timeb1,prob1,prob2,prob3,prob4,prob5,timeb2,cproblose,cprobwin,female,age,siblings,faculty,soep,complex,BRETw,Auct100w,Auct100wo,AsyAuct80,AsyAuct60,SymAuct60,Focal60,Treatment,RespInv100,AbsDist,StrictSinPeak,WeakSinPeak,Correct,ChiSqrPvalue,SigAt5per,SigAt1Per,SigAtPt01Per,end
1,1012,183.7494,20,60,178.1907,39.95493,50,50,0,0,0,142.875,0,100,0,25,1,3,5,0,0,0,0,0,0,0,1,7,0,120,0,0,0,2.03576E-31,1,1,1,end
2,1012,271.4195,38,60,825.0886,143.6295,5,10,25,40,20,53.37214,55,45,0,24,1,5,4,8,0,0,0,0,0,0,1,7,0,50,0,0,0,1.42084E-07,1,1,1,end
4,1012,132.0479,35,60,331.9293,62.63277,10,25,30,25,10,82.92133,38,62,0,20,1,3,5,1,0,0,0,0,0,0,1,7,0,40,1,1,0,0.001544998,1,1,0,end
5,1012,41.29073,30,60,433.4525,25.71417,30,30,20,10,10,25.58234,40,60,1,20,2,3,7,6,0,0,0,0,0,0,1,7,0,40,0,0,0,0.000499399,1,1,1,end
6,1012,145.9572,20,60,345.7275,26.42492,50,50,0,0,0,65.16017,68,32,0,21,7,5,8,0,0,0,0,0,0,0,1,7,0,120,0,0,0,2.03576E-31,1,1,1,end
7,1012,38.98349,28,60,710.1614,108.5193,0,10,78,12,0,51.79662,55,45,1,23,0,2,7,5,0,0,0,0,0,0,1,7,0,116,1,1,0,1.11573E-45,1,1,1,end
10,1012,191.8086,15,60,1015.943,78.59272,50,20,15,10,5,30.56994,50,50,1,28,1,3,9,9,0,0,0,0,0,0,1,7,0,60,0,0,0,8.64624E-13,1,1,1,end
11,1012,110.5907,40,60,143.3645,74.09206,27,27,27,10,9,55.14722,33,67,0,27,1,3,6,4,0,0,0,0,0,0,1,7,0,42,0,1,0,0.001030602,1,1,0,end
12,1012,103.5265,35,60,540.3604,61.31134,20,20,20,20,20,65.57337,60,40,1,22,1,3,6,4,0,0,0,0,0,0,1,7,0,0,0,0,1,1,0,0,0,end
16,1012,182.6825,35,60,420.341,97.38401,10,0,20,40,30,45.18899,56,44,1,21,2,3,6,4,0,0,0,0,0,0,1,7,0,60,0,0,0,3.61087E-10,1,1,1,end
