treatment,auct_100_100,auct_100_100_wo,bret,auct_80_100,auct_60_100,auct_60_60,auct_60_60_exp,session,subject,subject_in_session,female,age,siblings,faculty,soep,complex,wrongq1a,wrongq1b,wrongq1c,wrongq1d,wrongq2a,wrongq2b,wrongq2c,wrongq2d,wrongq3a,wrongq3b,wrongq3c,wrongq3d,wrongq3e,wrongq4,wrongq5,timecq,value,bid,timemain,prob1,prob2,prob3,prob4,prob5,timeb1,problose,probwin,timeb2
3,0,0,1,0,0,0,0,1,1,1,0,23,0,5,7,0,0,0,0,0,0,0,0,1,5,6,0,6,6,0,0,395.927,100,30,120.158,20,20,20,20,20,37.626,70,30,67.454
3,0,0,1,0,0,0,0,1,2,2,1,25,1,2,3,1,0,0,0,0,0,0,0,0,3,4,2,4,4,0,0,346.254,100,23,103.283,10,25,30,25,10,53.579,25,75,32.985
3,0,0,1,0,0,0,0,1,3,3,0,20,0,4,7,2,0,3,3,3,0,0,0,4,7,8,0,13,14,0,0,338.478,100,45,157.364,35,35,20,10,0,38.548,55,45,30.532
3,0,0,1,0,0,0,0,1,4,4,1,23,2,3,3,1,0,0,0,0,0,0,0,0,5,3,0,3,3,0,0,509.001,100,73,283.665,10,20,40,20,10,111.628,30,70,100.956
3,0,0,1,0,0,0,0,1,5,5,1,24,1,1,6,7,0,0,0,0,0,0,0,0,3,2,2,2,2,0,0,431.466,100,51,282.03,20,20,20,20,20,38.453,50,50,29.812
3,0,0,1,0,0,0,0,1,6,6,1,21,1,3,5,9,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,579.808,100,62,382.164,20,30,25,15,10,62.095,30,70,57.235
3,0,0,1,0,0,0,0,1,7,7,1,24,2,4,4,5,0,0,0,0,0,0,0,0,2,2,1,2,3,0,0,461.572,100,60,207.207,20,20,20,20,20,83.836,40,60,21.327
3,0,0,1,0,0,0,0,1,8,8,1,27,1,5,1,5,1,9,8,9,4,4,4,10,14,14,0,14,14,0,5,567.581,100,45,100.392,30,15,10,30,15,70.656,10,90,65.61
3,0,0,1,0,0,0,0,1,9,9,0,24,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.173,100,67,95.579,20,20,20,20,20,16.203,34,66,40.296
3,0,0,1,0,0,0,0,1,10,10,0,22,1,3,6,7,1,3,3,3,4,4,4,5,11,9,0,11,10,0,0,497.922,100,45,480.578,35,35,20,10,0,146.27,55,45,21.907
3,0,0,1,0,0,0,0,1,11,11,1,24,1,5,6,3,0,0,0,0,0,0,0,0,6,5,0,4,5,0,0,249.909,100,65,431.646,20,20,20,20,20,84.055,35,65,94.775
3,0,0,1,0,0,0,0,1,12,12,1,19,2,5,8,4,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,339.332,100,40,164.486,30,40,10,10,10,23.045,65,35,80.743
3,0,0,1,0,0,0,0,1,13,13,1,23,6,5,6,3,0,0,0,0,0,0,0,0,5,5,2,5,5,0,0,535.423,100,34,240.852,10,50,15,15,10,72.925,60,40,29.36
